comedians,bios
annie lederman,"[['pop-culture', 'co-host', 'Julian', 'scripted', 'stand-up'], [], [], ['Annie', 'Lederman', 'MTV', 'Girl', 'Code', 'Cheryl', 'Grand', 'Theft', 'Auto', 'Issues', 'McCullough', 'Annie', 'Happening', 'Chelsea', 'Lately', '@', 'Adam', 'Devine', 'House', 'Party', 'Comedy', 'Central', 'Annie', 'Stand', 'Ups', 'Comedy', 'Central', 'Dan', 'Powell', 'Inside', 'Amy', 'Schumer', 'Kurt', 'Metzger', 'Monroe', 'Martin'], [], ['recently', 'also', 'recently', 'Not', 'regularly', 'worldwide'], [], ['most']]"
anthony jeselnik,"[['brilliant', 'stand-up', 'several', 'first', 'stand-up', 'comic', 'Late', 'Late', 'Many', 'last', 'Last', 'first', 'hour-long', 'critical', 'hour-long', 'special'], [], ['most', 'Most'], ['Anthony', 'Jeselnik', 'Jeselnik', 'Offensive', 'Comedy', 'Central', 'Anthony', 'Comedy', 'Central', 'Roast', 'Donald', 'Trump', 'Roast', 'Charlie', 'Sheen', 'Conan', 'Tonight', 'Show', 'Jimmy', 'Kimmel', 'Live', 'Night', 'Jimmy', 'Fallon', 'Night', 'Jimmy', 'Fallon', 'Emmy', 'A', 'Night', 'Too', 'Overbooked', 'Concert', 'Autism', 'Education', 'Anthony', 'NBC', '’', 'Comic', 'Standing', 'Norm', 'Macdonald', 'Roseanne', 'Barr', 'Keenen', 'Ivory', 'Wayans', 'Anthony', 'Variety', '’', 'Comedy', 'Central', '’', '“', 'Hot', 'Comics', '”', 'Shakespeare', 'Comedy', 'Central', 'Records', 'Anthony', 'Caligula', 'Anthony', 'Netflix', 'Thoughts', 'Prayers'], ['Comics'], ['notably', 'ever', 'also', 'later', 'recently'], [], []]"
aparna nancherla,"[['“', 'exciting', 'new', 's', 'second', 'Other', 'stand-up', 'stand-up', 'late', 'prestigious', 'Late', 'regular', 'label', 'exclusive'], [], [], ['Me', 'Again', 'Aparna', 'Nancherla', 'Tour', 'Aparna', 'Nancherla', 'Washington', 'D.C.', 'New', 'York', 'City', 'Elle', '’', 'Women', 'Comedy', 'Issue', '”', 'Aparna', 'Comedy', 'Central', '’', 'Corporate', 'HBO', '’', 'Crashing', 'Netflix', '’', 'Standups', 'Netflix', '’', 'Master', 'None', 'Love', 'HBO', '’', 'High', 'Maintenance', 'Comedy', 'Central', '’', 'Inside', 'Amy', 'Schumer', 'US', 'Dave', '’', 'UK', 'Unspun', 'Matt', 'Forde', 'Hulu', '’', 'America', 'Sarah', 'Silverman', 'Aparna', 'Paul', 'Feig', 'A', 'Simple', 'Favor', 'Seeso', '’', 'Night', 'Train', 'Wyatt', 'Cenac', 'Comedy', 'Central', '’', 'Meltdown', 'Adam', 'Devine', '’', 's', 'House', 'Party', 'Aparna', 'TBS', '’', 'Conan', 'New', 'Faces', 'Just', 'Laughs', 'Festival', 'Montreal', 'Night', 'Seth', 'Meyers', 'FX', '’', 'Totally', 'W.', 'Kamau', 'Bell', 'NBC', 'Stand', 'Up', 'Diversity', 'Aparna', '’', 'NPR', 'Reader', '’', 'Digest', 'Huffington', 'Post', 'Washington', 'Post', 'Magazine', 'XM', 'Radio', 'Slate', 'V.', 'Her', 'Just', 'July', 'Tig', 'Notaro', '’', 'Bentzen', 'Ball', 'Records', 'Billboard', 'Comedy', 'Charts', '*VIP', 'Meet', 'Greet', 'Package', 'Aparna', 'Nancherla'], [], ['now', 'also', 's', 'as', 'well', 'as', 'well', 'also', 'currently'], [], ['most']]"
arden myrin,"[['popular', 'roundtable', 'many', 'frequent', 'new', 'first', 'new', 'upcoming', 'Late', 'Recent', 'female', 'comedian'], [], [], ['Arden', 'Myrin', 'Chelsea', 'Lately', 'Arden', 'Arden', 'MADtv', 'Arden', 'Comedy', 'Central', '’', '@', 'Internet.', '”', 'Arden', '’', 'Bachelorette', 'Suburgatory', 'Reno', 'Gilmore', 'Girls', 'Hot', 'Cleveland', 'Kinsey', 'Lucky', 'Ones', 'Bubble', 'Boy', 'Wrong', 'Wrong', 'Cops', 'Night', 'Conan', ""O'Brien"", 'Howard', 'Stern', 'Show', 'RuPaul', 'Drag', 'Race', 'Key', 'Peele', 'Inside', 'Amy', 'Schumer', 'Orange', 'New', 'Black', 'Arden', 'ABC', 'Studios', 'Boys', 'Brooklyn', 'Hole', 'Hole', 'Adult', 'Swim', 'South', 'Park', 'Pam', 'Brady'], ['Friends'], ['also', 'as', 'well', 'just', 'also', 'recently'], [], []]"
ari shaffir,"[['Stand-up', '45-minute', '–', 'double', 'popular', 'weekly', 'top-rated', 'avid', 'past', 'stand-up', 'special', 'popular', 'stand-up'], ['filthier'], ['Most'], ['Ari', 'Shaffir', 'Shaffir', 'Netflix', 'Double', 'Negative', 'Children', 'Adulthood', 'Self-described', 'Pumpkins', 'Double', 'Album', '’', 'George', 'Carlin', '’', 'FM', 'AM', 'Shaffir', 'Happening', 'Comedy', 'Central', 'Twentieth', 'Century', 'Fox', '’', 'Joneses', 'Shaffir', 'Skeptic', 'Tank', 'Shaffir', 'Sam', 'Tripoli', 'Jayson', 'Thibault', 'Punch', 'Drunk', 'Podcast', 'Shaffir', 'Double', 'Negative', 'Netflix', 'Comedy', 'Central', 'Paid', 'Regular', 'Passive', 'Aggressive', 'Prior', 'Shaffir', '’', 'Revenge', 'Holocaust', 'Amazon.com'], [], ['recently', 'Not', 'recently', 'wildly', 'consistently', 'also', 'together', 'once'], [], []]"
arj barker,"[['American', 'huge', 'sold-out', 'large', 'Real', 'Last', 'multiple', 'prestigious', '“'], [], [], ['Arj', 'Barker', 'Europe', 'Australia', 'New', 'Zealand', 'Dave', '”', 'HBO', 'Flight', 'Conchords', 'Marijuana-logues', 'Vagina', 'Monologues', 'Arj', 'Australia', 'Melbourne', 'Comedy', 'Festival', 'Arj', 'Late', 'Show', 'David', 'Letterman', 'Tonight', 'Show', 'HBO', '’', 'Time', 'Bill', 'Maher', 'Comic', 'Standing', 'Just', 'Laughs', 'Galas', 'Perrier', 'Best', 'Newcomer', '”', 'Edinburgh', 'Comedy', 'Awards', 'Arj', 'Comedy', 'Central', 'Arj', 'Barker'], [], ['best', 'also', 'off-Broadway', 'twice', 'also', 'not', 'already', 'soon'], [], []]"
arsenio hall,"[['different', 'different', 'versatile', 'comedian', 'major', 'such', 'first', 'co-write', 'late', 'young', 'successful', 'five-year', 'such', 'additional', '“', 'special', 'Late', 'late-night', 'executive'], [], ['Most'], ['Arsenio', 'Hall', 'Emmy', 'Award-winning', 'Arsenio', 'Hall', 'Show', 'Arsenio', 'Arsenio', 'Patti', 'LaBelle', 'Aretha', 'Franklin', 'Tina', 'Turner', 'Stevie', 'Wonder', 'Solid', 'Gold', 'Tonight', 'Show', 'Starring', 'Johnny', 'Carson', 'Amazon', 'Women', 'Moon', 'America', 'January', 'Arsenio', 'Arsenio', 'Hall', 'Show', 'Executive', 'Producer', 'Arsenio', 'Mariah', 'Carey', 'Snoop', 'Dogg', 'Arsenio', '’', 'CBS', '’', 'Martial', 'Law', 'CBS', '’', 'Star', 'Search', 'Guest', 'Mentor', '”', 'OWN', 'Network', '’', 'OWN', 'Show', 'Access', 'Hollywood', 'LIVE', 'CNN', '’', 'Piers', 'Morgan', 'Tonight', 'View', 'Arsenio', 'HBO', 'Sports', 'Documentary', 'Magic', 'Bird', 'Courtship', 'Rivals', 'A', 'E', 'Battle', 'Night', 'Arsenio', 'Season', 'Celebrity', 'Apprentice', 'Arsenio', 'Igor', 'Black', 'Dynamite', 'CBS', 'Arsenio', 'Hall', 'Show'], [], ['first', 'probably', 'late', 'as', 'well', 'as', 'well', 'as', 'As', 'far', 'recently', 'nationally'], [], []]"
aziz ansari,"[['original', 'additional', 'only', 'sold-out', 'legendary', 'fourth', 'special', 'hour-long', 'stand-up', 'special', 'other', 'co-starred', 'opposite', 'entire', 'critical', 'American', 'modern', 'basic', 'single', 'new', 'big', 'animated'], [], [], ['Aziz', 'MASTER', 'OF', 'NONE', 'Netflix', 'Alan', 'Yang', 'PARKS', 'AND', 'RECREATION', 'Aziz', 'Emmy', 'Award', '“', 'Outstanding', 'Writing', 'Comedy', 'Series', '”', 'Aziz', 'Madison', 'Square', 'Garden', 'New', 'York', 'AZIZ', 'ANSARI', 'LIVE', 'AT', 'MADISON', 'SQUARE', 'GARDEN', 'Netflix', 'March', 'BURIED', 'ALIVE', 'Netflix', 'Aziz', '’', 'DANGEROUSLY', 'DELICIOUS', 'INTIMATE', 'MOMENTS', 'A', 'SENSUAL', 'Aziz', 'Amy', 'Poehler', 'Emmy', 'NBC', 'PARKS', 'AND', 'RECREATION', '’', 'Aziz', '’', '‘', 'Tom', 'Haverford', '’', '’', 'Comedy', 'Award', '“', 'Best', 'Comedy', 'Supporting', 'Actor', '–', 'TV', '”', 'NAACP', 'Image', 'Award', '“', 'Outstanding', 'Supporting', 'Actor', 'Comedy', 'Series', '”', 'Aziz', 'MODERN', 'ROMANCE', 'MODERN', 'ROMANCE', 'NEW', 'YORK', 'TIMES', '“', 'Bestseller', '”', 'Aziz', 'THIS', 'THE', 'END', 'FUNNY', 'PEOPLE', 'OR', 'LESS', 'GET', 'HIM', 'TO', 'THE', 'GREEK', 'MAN', 'OBSERVE', 'AND', 'REPORT', 'Aziz', 'FOX', 'BOB', '’', 'S', 'BURGERS', '‘', 'Deryl', '’', 'Twentieth', 'Century', 'Fox', '’', 'EPIC', 'ICE', 'AGE', 'CONTINENTAL', 'DRIFT', 'Aziz', 'VARIETY', '’', '“', 'Power', 'Comedy', '”', 'Award', 'Aziz', 'Upright', 'Brigade', 'Theatre', 'HUMAN', 'GIANT'], ['MINUTES', 'Citizens'], ['ever', 'radically'], [], []]"
b t,"[['tried', 'stand-up', 'numerous', 's', 'physical', 'prestigious', 'versatile'], [], [], ['B.T', 'Sci-Fi', 'Black', 'Scorpion', 'HBO', 'Suckers', 'B.T', 'NBC', 'Friday', 'Night', 'Videos', 'HBO', 'U.S', 'Comedy', 'Festival', 'B.T', 'BET', '’', 'Comic', 'View', 'MTV', 'Jenny', 'McCarthy', 'Show', 'FOX', 'Keenan', 'Ivory', 'Wayans', 'Show'], ['Arts'], ['first', 'critically', 'surely', 'also'], [], []]"
ben bailey,"[['stand-up', 'desired', 'successful', 'numerous', 'such', 'own', 'such', 'Last', 'featured', 'independent'], [], [], ['Acclaimed', 'Ben', 'Bailey', 'New', 'York', 'Cash', 'Cab', 'Cash', 'Cab', 'Dark', 'Discovery', 'Channel', 'Cash', 'Cab', 'Daytime', 'Emmy', 'Game', 'Show', 'Host', 'Ben', 'Aspen', 'Comedy', 'Arts', 'Festival', 'Bad', 'Meat', 'Edinburgh', 'Festival', 'Masters', 'Montreal', 'Just', 'Laughs', 'Ben', 'Star', 'Search', 'Ben', 'ABC', 'Knights', 'Prosperity', 'Hope', 'Faith', 'NBC', 'Law', 'Order', 'SVU', 'Fox', 'Mad', 'Life', 'Live', 'Ben', 'Comedy', 'Central', 'Presents', 'Special', 'Tonight', 'Jay', 'Leno', 'Late', 'Late', 'Show', 'Craig', 'Kilborn', 'Carson', 'Daly', 'Comedy', 'Central', 'Premium', 'Blend', 'World', 'Stands', 'Up', 'Tough', 'Crowd', 'Colin', 'Quinn', 'Film', 'Spiderman', 'Bad', 'Meat', 'Pharmacist', 'Out', 'Meat', 'Meet', 'Me', 'Rays'], [], ['highly', 'as', 'well', 'also', 'also', 'as', 'well', ""n't"", 'also'], [], ['most']]"
ben gleib,"[['many', 'hilarious', 'stand-up', 'Neurotic', 'many', '’', 's', 'new', 'pop', 'Last', 'comedy', 'next', 'big', 'Democratic', 'next', 'standup', 'last'], ['more'], ['funniest', 'guest'], ['BEN', 'GLEIB', 'FOR', 'AMERICA', 'COMEDY', 'TOUR', 'Ben', 'Gleib', 'TBS', 'Ben', 'Gleib', 'Emmy', 'Idiotest', 'Netflix', 'Game', 'Show', 'Network', 'Showtime', 'Ben', 'Gleib', 'Gangster', 'Amazon', 'Prime', 'Today', 'Show', 'Kathie', 'Lee', 'Hoda', '@', 'Comedy', 'Central', 'Chelsea', 'Lately', 'Lifetime', 'American', 'Princess', 'Sloth', 'Ice', 'Age', 'Dali', 'Book', 'Life', 'Ben', 'Telethon', 'America', 'Olivia', 'Munn', 'Natalie', 'Portman', 'Charlize', 'Theron', 'Chelsea', 'Handler', 'Jane', 'Fonda', 'Hasan', 'Minhaj', 'Pete', 'Davidson', 'Amy', 'Schumer', 'Adam', 'Devine', 'Dr.', 'Phil', 'CNN', 'Headline', 'News', 'FOX', 'News', 'NPR', 'ABC', 'News', 'Ben', 'Week', 'Earth', 'Esquire', '’', 'America', '’', 'Come', 'Please'], [], ['only', 'currently', 'also', 'recently', 'also', 'now', 'now'], [], []]"
ben roy,"[['unparalleled', 'unique', 'due', 'own', 'new', 'new', 'comedic', 'many', 'alongside', 'stand-up', 'fellow', 'original', 'stand-up', 'prolific', 'lead'], ['more'], [], ['Ben', 'Roy', 'Lewis', 'Black', 'Bill', 'Hicks', 'Roy', 'Ben', 'Pound', 'Gorilla', 'Comedy', 'Works', 'Roy', 'Denver', 'Comedy', 'Works', 'Montreal', 'Just', 'Laughs', 'Comedy', 'Festival', 'LA', 'Riot', 'Comedy', 'Festival', 'Boston', 'Comedy', 'Festival', 'Austin', '’', 'South', 'Southwest', 'Roy', 'HBO', 'Funny', 'Hell', 'John', 'Wenzel', 'Mock', 'Stars', 'Indie', 'Comedy', 'Dangerously', 'Funny', 'Patton', 'Oswalt', 'Fred', 'Armisen', 'Comedy', 'Central', 'Adam', 'DeVine', 'House', 'Party', 'Happening', 'Ben', 'Denver', 'Adam', 'Cayton-Holland', 'Andrew', 'Orvedahl', 'Grawlix', 'Ben', 'TruTV', '’', 'Roy', 'SPELLS'], ['Records', 'Comedians'], ['definitively', 'just', 'then', 'as', 'well', 'Not', 'also', 'collectively', 'currently'], [], []]"
bengt washburn,"[['large', 'prestigious', 'live', 'real', 'impaired', 'accessible', 'insightful', 'original', 'hilarious'], [], ['youngest'], ['Utah', 'Bengt', 'Mormon', 'Bengt', 'Comedy', 'Central', '‘', 'Live', 'Gotham', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Conan', 'TBS', 'Winter', 'Canada', 'Bengt', 'San', 'Francisco', 'International', 'Comedy', 'Competition', 'Boston', 'Comedy', 'Festival', 'Vancouver', 'International', 'Comedy', 'Festival', 'Aspen', 'Laff', 'Festival', 'XMSirius', 'Radio', 'Bengt', 'Comedy', 'DVD', 'Bob', 'Tom', 'Morning', 'Show', 'NPR', 'PRI', 'Bengt'], ['Olympics'], ['Originally', 's', 'logistically'], [], []]"
bert kreischer,"[['stand-up', 'stand-up', 'special', 'regular', 'Late', 'one-hour', 'special', 'Perpetual', 'Man-Child', 'hilarious', 'outrageous'], [], ['latest', 'best'], ['Bert', 'Kreischer', 'Bert', 'Bert', 'Kreischer', 'Machine', 'Showtime', 'Travel', 'Channel', 'Trip', 'Flip', 'Bert', 'Conqueror', 'Hurt', 'Bert', 'Joe', 'Rogan', 'Experience', 'Rachael', 'Ray', 'Show', 'Night', 'David', 'Letterman', 'Jimmy', 'Kimmel', 'Live', 'Comfortably', 'Dumb', 'Comedy', 'Central', 'Life', 'Party', 'Stories'], [], ['previously'], [], []]"
improv workshop,"[['essential', 'creative', 'supportive', 'new', 'long', 'welcome', 'non-scary', 'safe', 'open', 'stand-up', 'head', 's', 'professional', 'actor', 'comic', 'original', 'you.', 'early', 'workshop'], ['better', 'more'], ['most'], ['Best', 'Damn', 'Improv', 'Workshop', 'Take', 'Beginners', 'Beginners', 'Beginners', 'Come', 'FUN', 'Ages', 'Edith', 'Weiss', 'Edith', 'Edith', 'MWR', 'Pham', 'Aly', 'Physically', 'Handicapped', 'Actors', 'Musical', 'Actors', 'League', 'Vox', 'Series', 'Edith', 'Denver', 'Center', 'Arvada', 'Center', 'Avenue', 'Theater', 'Nomads', 'Littleton', 'Town', 'Hall', 'Backstage', 'Breckenridge', 'Aurora', 'Fox', 'Edith', '’', 'Chicken', 'Lips', 'Scenic', 'Overbite', 'Plastered', 'Paris', 'Edith', '”', 'READ', 'TESTIMONIALS', 'NO'], [], ['Ever', 'back', 'otherwise', 'away', 'even', 'only', 'before', ""n't"", 'However', 'approximately', 'Formerly', 'nearly', 'happily'], [], []]"
best of the next,"[['legendary', 'local', 'top', 'Next', 's', 'red', 'hot', 'own', 'flourishing', 'Next', 'top', 'notorious', 'top', 'unannounced', 'Past', 'many', 'professional', 'hungry', 'legendary'], [], ['Best', 'best'], ['Comedy', 'Works', '’', 'NEW', 'TALENT', 'NIGHT', 'Catch', 'Colorado', '’', 'Best', 'Denver', '’', 'Denver', 'Netflix', 'Comedy', 'Central', 'New', 'Talent', 'Night', 'Denver', 'Comedy', 'New', 'Talent', 'Works', 'New', 'Talent', 'Night', 'Mike', 'Birbiglia', 'Josh', 'Blue', 'Ron', 'White', 'Dave', 'Chappelle', 'Comedy', 'Works', 'New', 'Talent', 'Comedy', 'Works', 'New', 'Talent', 'Night', 'Comedy', 'Works', 'Downtown'], [], ['even', 'truly', 'never', 'even', 'first'], [], []]"
beth stelling,"[['“', 'late-night', 'Notable', 'Last', 'Comedy', 'stand-up', 'special', 'available', '“', 'special', 'second'], [], [], ['Beth', 'Stelling', 'Out', 'Magazine', 'Comic', 'Watch', '”', 'Conan', '@', 'Chelsea', 'Lately', 'Pete', 'Holmes', 'Show', 'Jimmy', 'Kimmel', 'Live', 'Jimmy', 'Upright', 'Citizens', 'Brigade', 'Beth', 'Standups', 'Netflix', 'Showtime', 'SXSW', 'Special', 'Carson', 'Daly', 'Meltdown', 'Jonah', 'Kumail', 'Beth', 'HBO', '’', 'Crashing', 'Hilarity', 'Charity', 'Netflix', 'Hulu', '’', 'America', 'October', 'Beth', 'Central', 'Vulture', 'Best', 'Stand-up', 'Specials', 'Comedy', 'Central', 'Simply', 'Beth'], [], ['personally', 'extensively', 'currently', 'now'], [], []]"
bigjay oakerson,"[['Comedian', 'last', 'multiple', 'first', 'special', 'own', 'half-hour', 'Other', 'American', 'available'], [], [], ['Big', 'Jay', 'Oakerson', 'Just', 'Laughs', 'Comedy', 'Central', '’', 'Colossal', 'Clusterfest', 'New', 'York', 'Comedy', 'Festival', 'SXSW', 'Moontower', 'Festival', 'North', 'Northeast', 'Mayhem', 'Festival', 'Oakerson', 'Live', 'Webster', 'Hall', 'Comedy', 'Central', 'Jay', 'Netflix', 'F', 'Deal', 'NBC', '’', 'Seeso', 'FX', '’', 'Louie', 'IFC', '’', 'Z-Rock', 'Late', 'Show', 'Jimmy', 'Fallon', 'Comedy', 'Central', '’', 'Inside', 'Amy', 'Schumer', 'Comedy', 'Jam', 'Happening', 'Jay', 'Storyteller', 'Crowdwork', 'Sessions', 'Comedy', 'Central', 'Legions', 'Skanks', 'SDR', 'Show', 'Bonfire', 'Big', 'Jay', 'Oakerson', 'Dan', 'Soder'], ['Degenerates'], ['recently', 'as', 'well', 'Not', 'currently'], ['More'], []]"
bill bellamy,"[['last', 'comedian', 'actor', 'Last', 'Comic', 'new', 'romantic', 'big'], [], [], ['Bill', 'Bellamy', 'NBC', 'Def', 'Comedy', 'Jam', 'Getting', 'Played', 'Fastlane', 'Men', 'Women', 'Dogs', 'Any', 'Given', 'Sunday', 'Al', 'Pacino', 'Love', 'Stinks', 'Love', 'Jones', 'How', 'Player'], [], [], [], []]"
bill burr,"[['nationwide', 'unique', 'first', 'special', 'second', 'national', 'uninformed', 'half-hour', 'hour-long', 'stand-up', 'major', 'cameo', 'few', 'exciting'], [], [], ['Bill', 'Burr', '’', 'Comedy', 'Central', 'Presents', 'Chappelle', '’', 'Show', 'Bill', '’', 'Late', 'Show', 'David', 'Letterman', 'Late', 'Night', 'Conan', 'O', '’', 'Brien', 'HBO', 'Night', 'Stand', 'Burr', 'Go', 'Burr', 'Date', 'Night', 'Steve', 'Carell', 'Tina', 'Fey', 'Breaking', 'Bad', 'Come', 'Punchline', 'Magazine', 'Bill', 'Burr'], [], ['then'], ['more'], []]"
bill engvall,"[['multi-platinum', 'top', 'weekly', 'thought-provoking', 'unique', 'new', 'special', 'available', 'animated', 'successful', 'sketch', 'several', 'special', 'first', '’', 'straight', 'second', 'subsequent', 'several'], [], [], ['Bill', 'Engvall', 'Grammy', 'Bill', 'My', 'PodcastOne', 'Bill', '’', 'Just', 'Sell', 'Him', 'Parts', 'VUDU', 'Bill', 'Wish', 'Christmas', 'Neighbor', 'Bill', 'ABC', '’', 'Stars', 'Bill', 'Bounty', 'Hunters', 'CMT', 'TBS', 'Bill', 'Engvall', 'Show', 'Bill', 'Blue', 'Collar', 'Comedy', 'Grammy', 'WB', '’', 'Blue', 'Collar', 'Comedy', 'Central', 'Jeff', 'Foxworthy', 'Larry', 'Cable', 'Guy', 'Them', 'Idiots', 'Tour', 'CMT', 'Bill', '’', 'Sign', 'Billboard', 'Comedy', 'Chart', 'Dorkfish', 'Billboard', '’', 'Comedy', 'Chart', 'Bill', 'Bill', 'Engvall', 'Guy'], [], ['Recently', 'just', 'currently', 'previously', 'enormously', 'also', 'Here', 'also'], [], []]"
billy d washington,"[['“', 'Low-key', 'dead', '5-year', 'impressive', 'many', 'prestigious', 'Last', 'Comic', 'diverse', 'talented', 'black', 'racial', 'one-man', 'historic'], [], [], ['Denver', 'Post', 'Billy', 'D.', 'Washington', 'Houston', 'Police', 'Officer', 'Billy', 'Just', 'Laughs', 'HBO', 'Aspen', 'Comedy', 'Festival', 'Billy', 'HBO', '’', 'Def', 'Comedy', 'Jam', 'Comedy', 'Central', '’', 'Premium', 'Blend', 'NBC', 'Standing', 'America', 'NBC', 'S.E.L.L.O.U.T', 'Comedy', 'Tour', 'America', 'Billy', 'Hue-more', 'Comedy', 'Living', 'Color', 'Thalian', 'Hall', 'Wilmington', 'NC', 'January'], [], ['pretty', 'also', 'currently'], [], ['most']]"
billy wayne davis,"[['last', 'Last', 'Comic', 'festival', 'unique'], ['better'], ['funniest'], ['Davis', 'Billy', 'Wayne', 'NBC', 'Standing', 'WTF', 'Marc', 'Maron', 'TruTV', 'Worlds', 'Dumbest', 'CMT', 'NFL', 'FOX', 'Bridgetown', 'Comedy', 'Festival', 'Bumbershoot', 'Sketchfest', 'San', 'Francisco', 'Records', 'Billy', 'Wayne', 'Davis', 'Sirius', 'XM', 'Paste', 'Magazine', '“', 'Top', 'Ten', 'Davis', 'National', 'Sturgill', 'Simpson', 'Fall'], [], [], [], []]"
bo burnham,"[['original', 'Whole', 'combined', 'first', 'Last', 'eighteenth', 'special'], [], ['youngest'], ['Bo', 'Burnham', 'Internet', 'Family', 'YouTube', 'Bo', 'YouTube', 'MySpace', 'Burnham', 'EP', 'Bo', 'Fo', 'Sho', 'Burnham', 'Carson', 'Daly', 'Talkshow', 'Spike', 'Feresten', 'Entertainment', 'Weekly', 'Burnham', 'Comedy.', '”', 'Four', 'Burnham', 'Comedy', 'Central', 'Presents'], [], ['recently'], [], []]"
bob marley,"[['s', 'good', 'comedy', 'weekly', 'several', 'new', 'first', 'few', 'complete', 'late', 'half-hour', 'special', 'Many', '“', 'favorite'], ['more'], [], ['Bob', 'Marley', 'CD', '’', 'DVD', '’', 'Marley', 'World', 'Bob', 'Winner', 'Sirius', 'XM', '’', 'Super', 'Bowl', 'Comedy', 'Comedy', 'Central', 'Bob', 'Marley', 'Late', 'Show', 'David', 'Letterman', 'Tonight', 'Show', 'Jay', 'Leno', 'Late', 'Night', 'Conan', 'O', '’', 'Brien', 'Late', 'Late', 'Show', 'Craig', 'Ferguson', 'Craig', 'Kilborn', 'VH-1', '’', 'Super', 'Secret', 'Movie', 'Rules', 'Comedy', 'Central', '’', 'Premium', 'Blend', 'USO', 'Comedy', 'Tour', 'Comedy', 'Central', 'Presents', 'Bob', 'Marley', 'Bob', '’', 'Bob', 'Marley', 'Detective', 'Greenly', '”', 'Boondock', 'Saints', 'Saints', 'Day', 'Mainer', '’', 's'], [], ['currently', 'continually', 'now', 'also'], [], []]"
bob meddles,"[['hilarious', 'crazy', 'no-nonsense', 'unique', 'relatable', 'one-man', 'near', 'Great', 'American', 'two-time'], [], [], ['Bob', 'Meddles', 'Slap', 'Stupid', 'People', 'Midlife', 'Circus', 'Meddles', 'San', 'Francisco', 'Comedy', 'Competition', 'Comedy', 'Festival', 'Las', 'Vegas', 'Comedy', 'Festival', 'World', 'Series', 'Comedy', 'International', 'Humor', 'Contest', 'Meddles', 'Hackers', '’', 'Guide', 'Golf'], ['Toastmasters'], ['currently', 'also'], [], []]"
bob saget,"[['many', 'successful', 'family-friendly', 'Grammy-nominated', 'stand-up', 'thirty', 'scene-stealing', 's', 'effective', 'dark', 'third', 'stand-up', 'special', 'first', 'critical', 'fourth', 'independent', 'amazing', 'ensemble', 'nine-week', 'Tony-nominated', 'new', 'hour-long', 'stand-up', 'special'], [], [], ['Explicit', 'Content', 'SPECIAL', 'EVENT', 'Adults', 'Or', 'People', 'Really', 'Good', 'Fake', 'I.D.', '’', 'Yes', 'Bob', 'Saget', 'Full', 'House', 'Americas', 'Funniest', 'Home', 'Videos', 'HBO', 'That', 'Right', 'Entourage', 'Saget', 'Bob', '’', 'Talkin', 'Grammy', 'Award', 'Bob', '’', 'New', 'York', 'Times', 'Best', 'Seller', 'DIRTY', 'DADDY', 'Chronicles', 'Family', 'Man', 'Filthy', 'Comedian', 'April', 'Vanity', 'Fair', 'Hilarious', 'Saget', 'Netflix', 'Fuller', 'House', 'Bob', 'Benjamin', 'Stand', 'Up', 'Guy', 'Broadway', 'Hand', 'God', 'Bob', '’', 'Zero', 'Sixty', 'November'], ['Aristocrats'], ['ever', 'also', ""n't"", 'always', 'also'], [], ['most']]"
bobby collins,"[['Comedian', 'human', 'comedic', 'day-to-day', 'resplendent', 'native', 'genuine', 'professional', 'worked', 'alongside', 'personal', 'innumerable', 'legendary', 'new', 'loyal', 'first', 'personal', 'professional', 'humorous'], ['more'], [], ['Bobby', 'Collins', 'New', 'Yorker', 'Collins', 'Chris', 'Rock', 'Ray', 'Romano', 'Drew', 'Carey', 'Frank', 'Sinatra', 'Cher', 'Julio', 'Iglesias', 'Dolly', 'Parton', 'Rosie', ""O'Donnell"", 'Bobby', 'Stand-Up', 'Spotlight', 'Comedy', 'Clubs', 'Theaters', 'Corporate', 'Charity', 'Letterman', 'Tonight', 'Show', 'Jimmy', 'Fallon', 'Jay', 'Leno', 'Collins', 'Bobby', '’', 'DVD', '’', 'Inside', '–', 'Witisms', 'Wisdomisms', 'Comedian', 'Bobby', 'Collins', '”', 'Bobby', 'Please'], [], ['truthfully', 'as', 'well', 'only', 'as', 'well', 'specifically', 'currently'], [], []]"
bobby lee,"[['numerous', 'regular', '’', 's', 'long-running', 'unique', 'physical', 'such', 'real-world', 'North', 'Korean', 'memorable', 'presidential', 'hopeful', 'unpredictable', 'Late', 'new', 'original'], [], ['best', 'guest'], ['Bobby', 'Lee', 'MADtv', 'Chelsea', 'Lately', 'NBC', '’', 'Animal', 'Practice', 'Bobby', 'MADtv', 'Fox', 'Connie', 'Chung', 'President', 'Kim', 'Jong', 'Il', 'John', 'McCain', 'Bobby', 'Dictator', 'Pineapple', 'Express', 'Harold', 'Kumar', 'Go', 'White', 'Castle', 'Lee', 'Curb', 'Your', 'Enthusiasm', 'League', 'NCIS', 'Los', 'Angeles', 'Mind', 'Mencia', 'Friday', 'Premium', 'Blend', 'Tonight', 'Show', 'Currently', 'Lee', 'Netflix', 'Original', 'Love', 'Hulu', 'Awesomes', 'Arthur', 'ABC', '’'], [], ['quickly', 'recently', 'hilariously', 'also', 'stand-up', 'Together'], ['More'], []]"
